function,optimizer,min_abs_loss,last_abs_loss,rank
Rastrigin Function,ProximalHB,0.0,0.0,1.0
Rastrigin Function,AdamQN,0.0,0.0,1.0
Rastrigin Function,AMSGradMirror,0.0,0.0,1.0
Schaffer Function N. 2,SGD,0.0,0.0,1.0
Schaffer Function N. 2,Adam,0.0,0.0,1.0
Schaffer Function N. 2,AdamW,0.0,0.0,1.0
Schaffer Function N. 2,RMSprop,0.0,0.0,1.0
Schaffer Function N. 2,Yogi,0.0,0.0,1.0
Schaffer Function N. 2,Rprop,0.0,0.0,1.0
Schaffer Function N. 2,RPropMomentum,0.0,0.0,1.0
Schaffer Function N. 2,RpropwithPolyak,0.0,0.0,1.0
Schaffer Function N. 2,SGDPolyakMomentum,0.0,0.0,1.0
Schaffer Function N. 2,ProxYogi,0.0,0.0,1.0
Schaffer Function N. 2,ProximalHB,0.0,0.0,1.0
Schaffer Function N. 2,AdamQN,0.0,0.0,1.0
Schaffer Function N. 2,AMSGradMirror,0.0,0.0,1.0
Schaffer Function N. 4,SGD,1.0,1.0,1.0
Schaffer Function N. 4,Adam,1.0,1.0,1.0
Schaffer Function N. 4,AdamW,1.0,1.0,1.0
Schaffer Function N. 4,RMSprop,1.0,1.0,1.0
Schaffer Function N. 4,Yogi,1.0,1.0,1.0
Schaffer Function N. 4,Rprop,1.0,1.0,1.0
Schaffer Function N. 4,RPropMomentum,1.0,1.0,1.0
Schaffer Function N. 4,RpropwithPolyak,1.0,1.0,1.0
Schaffer Function N. 4,SGDPolyakMomentum,1.0,1.0,1.0
Schaffer Function N. 4,ProxYogi,1.0,1.0,1.0
Schaffer Function N. 4,ProximalHB,1.0,1.0,1.0
Schaffer Function N. 4,AdamQN,1.0,1.0,1.0
Schaffer Function N. 4,AMSGradMirror,1.0,1.0,1.0
Schwefel Function,SGD,0.0,,1.0
Schwefel Function,Adam,0.0,,1.0
Schwefel Function,AdamW,0.0,,1.0
Schwefel Function,RMSprop,0.0,,1.0
Schwefel Function,Yogi,0.0,,1.0
Schwefel Function,Rprop,0.0,0.0,1.0
Schwefel Function,RPropMomentum,0.0,0.0,1.0
Schwefel Function,RpropwithPolyak,0.0,0.0,1.0
